Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,Exhibit Largest BlockChainEXPO(JP),Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBviu,3.29,247,149893287,0,9644640,140248647,YES,80000,FUNDED,420000,USD,
Fund08,Expands to 1000cities in JP[APP],"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBu4r,3.83,273,176311311,0,7580779,168730532,YES,50000,FUNDED,100000,USD,
Fund08,Expands to 1000cities JP[PointSyst],Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBu4q,4.2,307,232855092,0,7677576,225177516,YES,100000,FUNDED,900000,USD,
Fund08,Fair Stake Pool Economy,New Member Onboarding,https://app.ideascale.com/t/UM5UZBvk0,3.58,87,18648998,0,11884486,6764512,NO,10000,NOT FUNDED,11128,USD,Approval Threshold
Fund08,Farming incentive to move liquidity,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBvqz,3.28,229,83492281,0,13766930,69725351,YES,90000,FUNDED,118000,USD,
Fund08,Favorable legislation in Argentina,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBwzj,4.87,523,129871544,0,269594,129601950,YES,13830,FUNDED,286170,USD,
Fund08,Ferrum: InfinitySwap-Milestone 1-2,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKm,3.33,140,27178679,0,24833534,2345145,NO,150000,NOT FUNDED,130,USD,Approval Threshold
Fund08,Ferrum: InfinitySwap-Milestone 3-4,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKo,3.28,121,32715189,0,17842448,14872741,YES,50000,NOT FUNDED,8130,USD,Over Budget
Fund08,Ferrum: InfinitySwap-Milestone 5,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvKs,2.6,138,29305759,0,21462524,7843235,YES,100000,NOT FUNDED,130,USD,Over Budget
Fund08,Ferrum's Staking as a Service MS1&2,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvKz,3.27,90,16714154,0,22185702,-5471548,NO,60000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Ferrum's Staking as a Service MS3&4,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvK0,3.17,90,25227053,0,22523939,2703114,NO,60000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Fetachain - IIoT Cardano Framework,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvcx,4.44,106,28399304,0,15152513,13246791,YES,19000,NOT FUNDED,10464,USD,Over Budget
Fund08,FIAT 1ST HOT WALLET Method,New Member Onboarding,https://app.ideascale.com/t/UM5UZBw7X,2.9,73,14219906,0,15990230,-1770324,NO,10000,NOT FUNDED,11128,USD,Approval Threshold
Fund08,Fiat Payments for NFTs - Revelar,DApps and Integrations,https://app.ideascale.com/t/UM5UZBw30,4.44,179,35613075,0,23982574,11630501,YES,162400,NOT FUNDED,2000,USD,Over Budget
Fund08,FIMI-Vietnamese Cardano Talk,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBwfu,4.31,185,36022254,0,18459917,17562337,YES,45000,NOT FUNDED,6141,USD,Over Budget
Fund08,Finance DAO dApp + Stakepool Web3,DApps and Integrations,https://app.ideascale.com/t/UM5UZBurQ,3.39,92,23278957,0,13415401,9863556,NO,50000,NOT FUNDED,2000,USD,Approval Threshold
Fund08,Find & organize eSports tournaments,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvkC,3.38,108,22849794,0,20006614,2843180,NO,167000,NOT FUNDED,803,USD,Approval Threshold
Fund08,Find your Way Route Optimizer App,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvCd,2.53,231,29741241,0,32615854,-2874613,NO,29650,NOT FUNDED,200,USD,Approval Threshold
Fund08,Finish the Filecoin Bridge!,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvPy,4.58,476,87946393,0,12705903,75240490,YES,28800,FUNDED,188000,USD,
Fund08,Fiverr Clone on Cardano,DApps and Integrations,https://app.ideascale.com/t/UM5UZBwzu,4.58,322,44613809,0,27649568,16964241,YES,250000,NOT FUNDED,2000,USD,Over Budget
Fund08,Flood Africa with Cardano,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvHc,4.17,132,37533407,0,4233383,33300024,YES,9000,NOT FUNDED,113,USD,Over Budget
Fund08,Flooftopia: Social CNFT MMO Game!,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvXp,4.1,118,26717344,0,21837161,4880183,YES,55000,NOT FUNDED,803,USD,Over Budget
Fund08,Flutter SDK,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvrL,4.83,503,101881298,0,8297241,93584057,YES,15000,FUNDED,611068,USD,
Fund08,Format Of Evaluated Project Process,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBwka,4.33,114,49028172,0,10199752,38828420,YES,13700,FUNDED,59382,USD,
Fund08,FOSS funding mechanism to save 🌍,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBu1U,2.83,150,24601412,0,26819462,-2218050,NO,32242,NOT FUNDED,200,USD,Approval Threshold
Fund08,FPS/3rdPS Battle Royale on Cardano,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBuv6,2.06,106,24952880,0,18730168,6222712,YES,50000,NOT FUNDED,803,USD,Over Budget
Fund08,Free CNFT Giveaway Bonanza - Get In,New Member Onboarding,https://app.ideascale.com/t/UM5UZBvpK,2.28,79,13836291,0,17526023,-3689732,NO,10000,NOT FUNDED,11128,USD,Approval Threshold
Fund08,Free off-chain data feeds pt. 2,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvr2,4.76,833,125790825,0,16729805,109061020,YES,50000,FUNDED,314754,USD,
Fund08,FreeLoaderz Token & NFT Distributor,DApps and Integrations,https://app.ideascale.com/t/UM5UZBwis,3.73,155,45203705,0,6630641,38573064,YES,25000,NOT FUNDED,7400,USD,Over Budget
Fund08,FreeLoaderz: Load Balancer,New Member Onboarding,https://app.ideascale.com/t/UM5UZBwif,4.14,174,33993935,0,13773085,20220850,YES,5000,FUNDED,17128,USD,
Fund08,French Haskell + Plutus Curriculum,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvRw,4.58,192,37351031,0,10710095,26640936,YES,9000,NOT FUNDED,6141,USD,Over Budget
Fund08,French West Africa Outreach,New Member Onboarding,https://app.ideascale.com/t/UM5UZBvoH,4.3,117,26823277,0,19756840,7066437,YES,6000,FUNDED,11128,USD,
Fund08,French West Africa Outreach,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvn5,4.83,262,50485417,0,15129688,35355729,YES,16000,FUNDED,30176,USD,
Fund08,Fund8Proposals + SDGs - Cardano AIM,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBu8E,4.6,226,58921915,0,6157029,52764886,YES,9000,FUNDED,102850,USD,
Fund08,Funded Proposer Sub-Circle,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvBD,4.83,378,88073752,0,3537955,84535797,YES,14215,FUNDED,302135,USD,
Fund08,Funding Categories Analysis,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwc9,4.75,258,41654392,0,23635668,18018724,YES,21000,NOT FUNDED,8700,USD,Over Budget
Fund08,Funding the Growth of Adapulse,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBuvj,3.83,154,42347756,0,15851172,26496584,YES,85000,NOT FUNDED,5532,USD,Over Budget
Fund08,Fundraising platform for NGO's,DApps and Integrations,https://app.ideascale.com/t/UM5UZBv3t,3.13,92,22626701,0,25229091,-2602390,NO,150000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Fundraising the LV Arts District,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvfv,3.89,83,25071320,0,17911849,7159471,YES,50000,NOT FUNDED,332,USD,Over Budget
Fund08,Future of Cardano is in East Asia,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBvD2,4.57,194,48520118,0,8111747,40408371,YES,22500,NOT FUNDED,14910,USD,Over Budget
Fund08,GameChanger: Most Wanted Features ❤,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBwzd,4.11,270,58756665,0,10208252,48548413,YES,12000,NOT FUNDED,4773,USD,Over Budget
Fund08,Gamified Education -Play to (L)EARN,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvPN,4.42,172,32045795,0,18485334,13560461,YES,35000,NOT FUNDED,1683,USD,Over Budget
Fund08,Gamifying Littercoin (Take 2),Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvGV,3.5,93,24302336,0,17157388,7144948,YES,50000,NOT FUNDED,803,USD,Over Budget
Fund08,Gender Unicorns CNFT card game,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwND,3.79,111,32441403,0,14213158,18228245,YES,51400,NOT FUNDED,1683,USD,Over Budget
Fund08,"Genealogy registry in Goma, DRCongo",Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvjN,4.52,288,101553805,0,3629855,97923950,YES,18600,FUNDED,621800,USD,
Fund08,General Purpose Identification,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBw3l,2.75,76,16524127,0,15768741,755386,NO,14000,NOT FUNDED,6608,USD,Approval Threshold
Fund08,Ghana Youth Onboarding Outreach,New Member Onboarding,https://app.ideascale.com/t/UM5UZBwUI,4.26,125,33694761,0,3687701,30007060,YES,4000,FUNDED,48628,USD,
Fund08,GIVE BUSINESSES THE TOOLS NEEDED!,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvQ9,3.17,88,23628086,0,12800600,10827486,NO,25000,NOT FUNDED,10464,USD,Approval Threshold
Fund08,Give Maasai Pastoralists DiD,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBwTb,3.47,76,22878431,0,16397895,6480536,YES,7000,NOT FUNDED,2700,USD,Over Budget
Fund08,Gnosis Safe UI,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvqe,3.58,245,136117857,0,13520701,122597156,YES,30000,FUNDED,819800,USD,
Fund08,Go-Peds Go-Cardano,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBwsM,3.67,82,24601714,0,13108915,11492799,YES,34600,NOT FUNDED,6141,USD,Over Budget
Fund08,Green Energy Decentralisation,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBwo6,2.94,87,22644796,0,17843946,4800850,YES,100000,NOT FUNDED,5464,USD,Over Budget
Fund08,Green Yoma - SSI SDG Marketplace,Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBvb4,4.39,122,28957150,0,15904544,13052606,YES,110000,NOT FUNDED,28668,USD,Over Budget
Fund08,Grow Ethiopian cardano community,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBw7t,3.28,71,22905345,0,12630088,10275257,NO,15000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Grow Rural Business,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvsq,4.83,360,43570388,0,22258269,21312119,YES,72000,NOT FUNDED,10464,USD,Over Budget
Fund08,Grow SA Cardano Community,New Member Onboarding,https://app.ideascale.com/t/UM5UZBu9J,3.67,78,18570752,0,11698278,6872474,NO,30000,NOT FUNDED,11128,USD,Approval Threshold
Fund08,"Grow Wada, Grow Cardano","Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBukN,4.67,503,79802327,0,10533594,69268733,YES,87000,FUNDED,103320,USD,
Fund08,Grow Your Own Adventure Mobile,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBwx4,2.5,91,22704306,0,17863682,4840624,YES,25000,NOT FUNDED,803,USD,Over Budget
Fund08,Growing CA community via Hubs,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBw5L,3.27,81,24084258,0,14676488,9407770,YES,9800,NOT FUNDED,1780,USD,Over Budget
Fund08,Growing CardanoÂ’s Ecosystem,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBw3P,4.33,139,36569822,0,19224109,17345713,YES,30000,NOT FUNDED,6141,USD,Over Budget
Fund08,Growing CardanoÂ’s Small Businesses,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBw3N,4.57,206,38084965,0,22328899,15756066,YES,30000,NOT FUNDED,10464,USD,Over Budget
Fund08,Growing the US Blockchain Community,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvTO,3.94,136,34166129,0,21746058,12420071,YES,35000,NOT FUNDED,130,USD,Over Budget
Fund08,Hackathon and Internship Program,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBwxu,4.33,117,39556344,0,4293398,35262946,YES,28000,NOT FUNDED,1362,USD,Over Budget
Fund08,Haitian Economic Growth Initiative,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvrM,2.5,117,28200030,0,18986401,9213629,YES,45000,NOT FUNDED,7200,USD,Over Budget
Fund08,Haskell Book Japanese Translation,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBwnQ,4.26,323,49561493,0,14731806,34829687,YES,9250,NOT FUNDED,4773,USD,Over Budget
Fund08,Haskell Book Vietnamese Translation,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBwiK,4.59,549,88438437,0,10856269,77582168,YES,6500,FUNDED,102273,USD,
Fund08,Haskell Course For Beginner,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBveu,4.78,1675,185143724,0,29838472,155305252,YES,11580,FUNDED,485754,USD,
Fund08,Haskell Course for Vietnamese,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBve2,4.67,249,49245894,0,26464743,22781151,YES,11580,NOT FUNDED,6141,USD,Over Budget
Fund08,Haskell/Plutus Course in Spanish,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBvAm,4.27,361,59865204,0,11627510,48237694,YES,27000,NOT FUNDED,4773,USD,Over Budget
Fund08,Healthcare & Wellness Marketplace,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBu6K,3,86,25019844,0,13651821,11368023,YES,60000,NOT FUNDED,10464,USD,Over Budget
Fund08,Healthcare Developers Onboarding,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvpt,4.33,150,50264788,0,2406260,47858528,YES,14000,FUNDED,59460,USD,
Fund08,Hello Future - Digital Time Capsule,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBu10,1.79,171,30967033,0,24683728,6283305,YES,25000,NOT FUNDED,7200,USD,Over Budget
Fund08,Help2Health: Cardano + Citaldoc,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZButE,4.42,132,77649402,0,5156751,72492651,YES,34760,FUNDED,513754,USD,
Fund08,Honeybees on Blockchain,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBu0t,4.2,109,35071156,0,13772851,21298305,YES,22200,NOT FUNDED,10464,USD,Over Budget
Fund08,Horrocubes,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvlw,3.5,86,23325759,0,16934060,6391699,YES,34000,NOT FUNDED,803,USD,Over Budget
Fund08,How did Sony take on Nintendo?!,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBu4Y,1.73,131,17533687,0,16170667,1363020,NO,50000,NOT FUNDED,1800,USD,Approval Threshold
Fund08,How often can a brand contact you?,DApps and Integrations,https://app.ideascale.com/t/UM5UZBu6l,4.58,175,50425361,0,15902802,34522559,YES,46667,NOT FUNDED,7400,USD,Over Budget
Fund08,How to-podcasts Filipino & English,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBw3Y,4.4,111,27358789,0,14918005,12440784,YES,11800,NOT FUNDED,1160,USD,Over Budget
Fund08,HQ GRAPHIC FOR MIVERSE METAVERSE,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBuzX,4.29,158,50031579,0,8256757,41774822,YES,78120,NOT FUNDED,11183,USD,Over Budget
Fund08,Hub Support Services for Proposers,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw5N,4.78,194,43573760,0,6842940,36730820,YES,19400,FUNDED,20532,USD,
Fund08,Humble Records UBI Music Collective,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvnx,2.67,75,16751077,0,14453906,2297171,NO,1500,NOT FUNDED,2700,USD,Approval Threshold
Fund08,"HYDRA for mashup, co-authors and ©?",DApps and Integrations,https://app.ideascale.com/t/UM5UZBu2W,4.78,365,76707338,0,13063472,63643866,YES,45000,FUNDED,1212340,USD,
Fund08,IdeaFest & ChallengeFest by Swarm,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBuk9,4.2,114,48339937,0,4795504,43544433,YES,10000,FUNDED,118082,USD,
Fund08,Ideation Protocol Work Group,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBvhq,3.44,75,23566567,0,14045850,9520717,YES,28500,NOT FUNDED,11755,USD,Over Budget
Fund08,Immigration Documents On Chain,Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBvH8,4,112,33601104,0,3733428,29867676,YES,1800,FUNDED,49668,USD,
Fund08,Impact Accelerator Rollout,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvuo,4.33,109,25455753,0,21399695,4056058,YES,34700,NOT FUNDED,332,USD,Over Budget
Fund08,Impact Creating NFTs for Causes,DApps and Integrations,https://app.ideascale.com/t/UM5UZBuvy,3.67,142,37432766,0,15161680,22271086,YES,30500,NOT FUNDED,2000,USD,Over Budget
Fund08,Impact Finance Regulatory Sandbox,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBwSu,4.39,228,49980431,0,16971797,33008634,YES,99450,FUNDED,57720,USD,
Fund08,Imperative Smart Contracts,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBwlM,4.24,268,48852441,0,16497305,32355136,YES,70000,NOT FUNDED,1800,USD,Over Budget
Fund08,Improve Catalyst Search-ability,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvXA,4.33,119,36759017,0,7630462,29128555,YES,11130,NOT FUNDED,5532,USD,Over Budget
Fund08,Improving Integrity of CA Processes,Community Advisor Improvements,https://app.ideascale.com/t/UM5UZBvg7,4.56,299,97518810,0,2225358,95293452,YES,15000,FUNDED,66200,USD,
Fund08,Inc. Train the Trainer Africa MVP,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvxD,4.89,572,103970385,0,12309822,91660563,YES,24200,FUNDED,210800,USD,
Fund08,Incentivized learning to move users,The Great Migration (from Ether,https://app.ideascale.com/t/UM5UZBvWI,4.13,156,29254462,0,17327850,11926612,YES,69500,NOT FUNDED,1800,USD,Over Budget
Fund08,Increase Project's Investor Appeal,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBw1y,4.33,92,26314909,0,16619147,9695762,YES,48000,NOT FUNDED,10464,USD,Over Budget
Fund08,Incremental CA assessments,Community Advisor Improvements,https://app.ideascale.com/t/UM5UZBwUW,3.96,173,48563493,0,4000912,44562581,YES,4200,FUNDED,54360,USD,
Fund08,Indian SPO Support and Education,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvGt,4.17,142,48486180,0,2584389,45901791,YES,7000,FUNDED,33750,USD,
Fund08,Indigenous Land Rematriation,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvJ3,2.73,117,28646174,0,15922824,12723350,YES,25000,NOT FUNDED,7200,USD,Over Budget
Fund08,Indigo MetAcademy,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvpY,4.92,664,123606893,0,3421498,120185395,YES,30000,FUNDED,425000,USD,
Fund08,"INDIGO, AFRICA & FUTURE FASHION",Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvtH,3.39,190,74679115,0,14881167,59797948,YES,50000,FUNDED,243100,USD,
Fund08,Industry 4.0 On-chain Platform,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBumU,3.25,92,25322840,0,16209112,9113728,YES,98000,NOT FUNDED,5464,USD,Over Budget
Fund08,Innovatio Digital HUB,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvLf,4.9,598,105735383,0,19965388,85769995,YES,30000,FUNDED,316350,USD,
Fund08,Innovatio Web-App Investigation,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvL2,4.22,133,40560240,0,12540744,28019496,YES,5400,FUNDED,2000,USD,
Fund08,Innovatio's Digital User Onboarding,New Member Onboarding,https://app.ideascale.com/t/UM5UZBvL6,4.47,128,40895457,0,2785719,38109738,YES,11400,FUNDED,62028,USD,
Fund08,Innovation Fund Research - Roles,New Member Onboarding,https://app.ideascale.com/t/UM5UZBww0,3.75,90,17373262,0,19287926,-1914664,NO,10240,NOT FUNDED,11128,USD,Approval Threshold
Fund08,Insight Sharing Workshops - TCS,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw2n,4.52,149,47130275,0,9243662,37886613,YES,4050,FUNDED,47332,USD,
Fund08,Integrate Assets & Debt into ADA,DApps and Integrations,https://app.ideascale.com/t/UM5UZBuwG,2.33,110,30511286,0,20718727,9792559,YES,100000,NOT FUNDED,2000,USD,Over Budget
Fund08,Integrating Python & NFT usability,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvKR,1.33,125,28070853,0,21758267,6312586,YES,115000,NOT FUNDED,1000,USD,Over Budget
Fund08,Integrations and utilities,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvW4,1.73,97,22362100,0,22925222,-563122,NO,80000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Interest free stablecoin protocol,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBvrV,2.94,149,29832281,0,20538912,9293369,YES,10000,NOT FUNDED,700,USD,Over Budget
Fund08,International Healthcare & Cardano,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBvko,3.44,111,25075495,0,17953526,7121969,YES,80000,NOT FUNDED,6608,USD,Over Budget
Fund08,Investor Network Community Platform,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvTT,4.22,157,27708733,0,18935347,8773386,YES,28700,NOT FUNDED,7200,USD,Over Budget
Fund08,Invoice Finance DeFi Platform - CR2,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvMq,3.89,101,24265310,0,18689518,5575792,YES,100000,NOT FUNDED,5464,USD,Over Budget
Fund08,IRI: Cardano & Urbit Hackathon,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBw3d,5,592,97787226,0,25489093,72298133,YES,25000,FUNDED,406720,USD,
Fund08,IRI: Champaign Cardano Meetups,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBwyf,2.89,79,22722199,0,13025851,9696348,NO,3000,NOT FUNDED,6141,USD,Approval Threshold
Fund08,IRI: Educating Crypto Regulators,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBwxT,4,168,37396972,0,13080433,24316539,YES,25000,FUNDED,24720,USD,
Fund08,IRONSKY NFT GAME Play2Earn |4Launch,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBvRY,4.95,1152,179827573,0,9322622,170504951,YES,54050,FUNDED,445950,USD,
Fund08,ISIG-GOMA Cardano Hub,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvtp,4.4,111,30118834,0,13521808,16597026,YES,12000,NOT FUNDED,113,USD,Over Budget
Fund08,Japanese Cardano Master Class,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvvS,2.62,91,47936826,0,13870765,34066061,YES,10000,FUNDED,20700,USD,
Fund08,JobFair platform on Cardano,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvxB,4,139,37015523,0,14682693,22332830,YES,78300,NOT FUNDED,2000,USD,Over Budget
Fund08,JSON API service for developers,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBwhA,4.78,1051,138763150,0,7171047,131592103,YES,26000,FUNDED,435754,USD,
Fund08,K SPROUT-Leveraging Indian Startups,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBvMw,4.62,344,103603553,0,4432441,99171112,YES,24900,FUNDED,102600,USD,
Fund08,Kandy Community Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvLM,2.92,120,22486299,0,19466885,3019414,YES,20000,NOT FUNDED,6141,USD,Over Budget
Fund08,Keeping Up with Cardano: 100 videos,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBvFl,4.19,170,39715697,0,18914883,20800814,YES,39300,NOT FUNDED,14700,USD,Over Budget
Fund08,Keyword Coin Price Widget for Sites,DApps and Integrations,https://app.ideascale.com/t/UM5UZBvQr,3.75,100,29669498,0,21663804,8005694,YES,47800,NOT FUNDED,1000,USD,Over Budget
Fund08,KILT & Cardano,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZBvFO,4.47,222,82816909,0,6383880,76433029,YES,5000,FUNDED,216800,USD,
Fund08,"knowcardaknow, a marketplace",Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBvbN,4.78,199,50266182,0,7306261,42959921,YES,20000,FUNDED,98082,USD,
Fund08,Knowledge hub for Vietnam and Japan,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBuyu,4.57,273,97922777,0,6090793,91831984,YES,14000,FUNDED,346350,USD,
Fund08,KodeKlash Hackathons,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBwMb,3.75,220,32305045,0,27604498,4700547,YES,80000,NOT FUNDED,4773,USD,Over Budget
Fund08,KONMA Chain : L2 ZK Roll up for ADA,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBvM3,1.67,265,31370154,0,37923671,-6553517,NO,800000,NOT FUNDED,183473,USD,Approval Threshold
Fund08,Konma OpenLib,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwsb,2.67,149,30731509,0,17419425,13312084,YES,38000,NOT FUNDED,700,USD,Over Budget
Fund08,KONMA- A Web3 Marketplace,Business Solutions (B2B & B2C),https://app.ideascale.com/t/UM5UZBvMr,3.38,84,23981725,0,14364532,9617193,YES,38000,NOT FUNDED,10464,USD,Over Budget
Fund08,KYC Credentials PoC,Self-Sovereign Identity,https://app.ideascale.com/t/UM5UZBvKL,4.33,141,48524301,0,2076305,46447996,YES,26300,FUNDED,79153,USD,
Fund08,LATAM Cardano Community Operations,Open Source Development Ecosyst,https://app.ideascale.com/t/UM5UZBwva,4.94,495,96758958,0,4912720,91846238,YES,18000,FUNDED,593068,USD,
Fund08,Layer 2 Advanced Architecture,DApps and Integrations,https://app.ideascale.com/t/UM5UZBupI,1.94,128,25667532,0,25269878,397654,NO,200000,NOT FUNDED,1000,USD,Approval Threshold
Fund08,Layer 3 scalability using zkRollups,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBvqo,3.08,454,169484476,0,14742215,154742261,YES,75000,FUNDED,845000,USD,
Fund08,Leadership Academy Operations,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw1x,3.73,78,28189448,0,9438896,18750552,YES,23900,NOT FUNDED,5532,USD,Over Budget
Fund08,Leapfrogging Industrialization,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZBvik,4.2,126,21687750,0,15057243,6630507,NO,50000,NOT FUNDED,113,USD,Approval Threshold
Fund08,Learn & Earn for Refugees,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvgA,4.22,204,42940232,0,12483240,30456992,YES,80000,NOT FUNDED,7200,USD,Over Budget
Fund08,"Learn 2 Earn, CA Can Be a Good Job!",New Member Onboarding,https://app.ideascale.com/t/UM5UZBvDb,4.37,156,36913770,0,7293962,29619808,YES,15700,FUNDED,32928,USD,
