Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Ccy,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Funding category,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund12,[CC] CardanoForKids - Play2Learn,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cc-cardanoforkids-play2learn,3.86,204,17945627,43585908,0,17945627,ADA,NO,45620,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120005,https://app.ideascaleapp.eu/t/UCNZhPS,116,76,72,65.52%,94.74%,4.04,3.9,3.64
Fund12,[CC] CardanoForKids\_TiktokViral,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cc-cardanoforkidstiktokviral,3.85,205,13177731,51035537,0,13177731,ADA,NO,44500,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120024,https://app.ideascaleapp.eu/t/UCNZhPm,109,69,64,63.30%,92.75%,3.99,3.83,3.74
Fund12,[FIMI] Blockchain course for Vietnamese,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fimi-blockchain-course-for-vietnamese,4.20,319,59281513,46272948,0,59281513,ADA,YES,74900,FUNDED,1248365,,Cardano Open Ecosystem,121864,https://app.ideascaleapp.eu/t/UCNZhuw,129,86,83,66.67%,96.51%,4.4,4.2,3.99
Fund12,[FIMI] Cardano Talk for Vietnamese (phase 2),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fimi-cardano-talk-for-vietnamese-phase-2-b2c1d,4.23,275,25576562,42858999,0,25576562,ADA,NO,69300,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121815,https://app.ideascaleapp.eu/t/UCNZht8,119,81,78,68.07%,96.30%,4.35,4.3,4.04
Fund12,[FIMI] cardano.vn - Cardano information portal for Vietnamese (phase 2),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fimi-cardanovn-cardano-information-portal-for-vietnamese-phase-2,4.40,308,31284394,44882256,0,31284394,ADA,NO,40440,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121832,https://app.ideascaleapp.eu/t/UCNZhuP,124,79,74,63.71%,93.67%,4.46,4.46,4.27
Fund12,[FIMI] Podcast Cardano on Telegram for Vietnamese,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fimi-podcast-cardano-on-telegram-for-vietnamese,4.13,266,53525404,46528920,0,53525404,ADA,YES,57150,FUNDED,621582,,Cardano Open Ecosystem,121853,https://app.ideascaleapp.eu/t/UCNZhul,110,69,67,62.73%,97.10%,4.12,4.34,3.92
Fund12,[FIMI] Video Cardano Vietnamese version (Phase 2),Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/fimi-video-cardano-vietnamese-version-phase-2,4.31,299,29763495,47289919,0,29763495,ADA,NO,90000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,121100,https://app.ideascaleapp.eu/t/UCNZhiP,133,96,87,72.18%,90.63%,4.39,4.36,4.18
Fund12,[nftcdn.io] Free high-speed & optimised NFT image & file API for developers,Cardano Use Cases: Product,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-product/nftcdnio-free-high-speed-and-optimised-nft-image-and-file-api-for-developers,4.35,384,77505091,45803829,0,77505091,ADA,YES,241117,NOT FUNDED,63006,Over Budget,Cardano Use Cases Product,123285,https://app.ideascaleapp.eu/t/UCNZiIE,119,79,79,66.39%,100.00%,4.42,4.32,4.32
Fund12,[nftcdn.io] NSFW NFT Identification Tool,Cardano Use Cases: Product,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-product/nftcdnio-nsfw-nft-identification-tool,4.15,368,73726728,49983925,0,73726728,ADA,YES,127210,NOT FUNDED,63006,Over Budget,Cardano Use Cases Product,123330,https://app.ideascaleapp.eu/t/UCNZiIy,120,78,77,65.00%,98.72%,4.22,4.41,3.83
Fund12,"[nftcdn.io] Open Source JavaScript NFT Media Viewer/Player (music, video, 3D, etc.)",Cardano Open: Developers,https://projectcatalyst.io/funds/12/f12-cardano-open-developers/nftcdnio-open-source-javascript-nft-media-viewerplayer-music-video-3d-etc,4.33,480,103125524,35501671,0,103125524,ADA,YES,195349,FUNDED,4196870,,Cardano Open Developers,123311,https://app.ideascaleapp.eu/t/UCNZiIf,120,69,67,57.50%,97.10%,4.5,4.36,4.12
