Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,Fractal Fuzion Integrations,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0nd,3.5,145,3331114,0,20446526,-17115412,NO,9420,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419098-48088,419098,"F9: Dapps, Products & Integrations",26595,3.5,6
Fund09,Online Makerspace,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0V4,3.5,121,1516991,0,20452762,-18935771,NO,22500,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418088-48088,418088,"F9: Dapps, Products & Integrations",26595,3.5,6
Fund09,NFT Bridge to & from Cardano,Cross-Chain Collaboration,https://app.ideascale.com/t/UM5UZB05I,3.48,196,13440797,0,32523667,-19082870,NO,100000,NOT FUNDED,575,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420176-48088,420176,F9: Cross-Chain Collaboration,26598,3.48,11
Fund09,Cardano Stonerz Club + Integrations,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzWh,3.48,159,10975868,0,27008606,-16032738,NO,100000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414405-48088,414405,"F9: Dapps, Products & Integrations",26595,3.48,9
Fund09,Educational Hub by CardanoProjects,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB1al,3.48,137,26948160,0,20414967,6533193,YES,6400,NOT FUNDED,1021,Over Budget,,https://cardano.ideascale.com/a/dtd/422034-48088,422034,"F9: Grow East Asia, Grow Cardano",26602,3.48,9
Fund09,Cardano Swapping Application,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB014,3.48,124,1610020,0,88711099,-87101079,NO,16400,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419979-48088,419979,"F9: Dapps, Products & Integrations",26595,3.48,7
Fund09,Create YOUR RPG Character with NFTs,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1ju,3.48,139,1006639,0,91628506,-90621867,NO,55000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/422592-48088,422592,"F9: Dapps, Products & Integrations",26595,3.48,7
Fund09,Haskell Integration in Wolfram Tech,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1V2,3.48,222,88618898,0,22615836,66003062,YES,130000,NOT FUNDED,49360,Over Budget,,https://cardano.ideascale.com/a/dtd/421807-48088,421807,F9: Developer Ecosystem,26597,3.48,7
Fund09,MiFi: Where mining meets finance,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0ig,3.48,131,1571610,0,22560857,-20989247,NO,65000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418796-48088,418796,"F9: Dapps, Products & Integrations",26595,3.48,7
Fund09,legal implementation in COLOMBIA,Legal & Financial Implementatio,https://app.ideascale.com/t/UM5UZBzTw,3.47,184,3339745,0,18264774,-14925029,NO,19000,NOT FUNDED,8659,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414237-48088,414237,F9: Legal & Financial Implementations,26596,3.47,12
Fund09,Your Mentor and Record Keeper,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0GT,3.47,124,1471557,0,20619759,-19148202,NO,25000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/417137-48088,417137,"F9: Dapps, Products & Integrations",26595,3.47,10
Fund09,ZOOMLOOK Luxury CNFT Platform,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1ti,3.47,241,12495296,0,146679653,-134184357,NO,1500000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/423190-48088,423190,"F9: Dapps, Products & Integrations",26595,3.47,10
Fund09,Agricultural CO2 capture Unit,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0tF,3.47,137,1683806,0,24842806,-23159000,NO,59760,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/419441-48088,419441,"F9: Dapps, Products & Integrations",26595,3.47,5
Fund09,Beyond Text Proposals,dRep improvement and onboarding,https://app.ideascale.com/t/UM5UZBz03,3.47,170,12309041,0,11253597,1055444,NO,14650,NOT FUNDED,5690,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416196-48088,416196,F9: dRep improvement and onboarding,26601,3.47,5
